system,brand,style,category,canonical_name,canonical_status,supplier_sku,description,size,colour,length_mm,tier2_ex_gst,tier2_inc_gst,carton_qty
timber,Treated Pine,Paling,Paling,100x16 Treated Pine Paling 1200mm,ratified,PL100x16x1200,CCA Treated Pine Paling 100 x 16 x 1200mm,1200,,1200,1.33,1.46,330
timber,Treated Pine,Paling,Paling,100x16 Treated Pine Paling 1500mm,ratified,PL100x16x1500,CCA Treated Pine Paling 100 x 16 x 1500mm,1500,,1500,1.54,1.69,330
timber,Treated Pine,Paling,Paling,100x16 Treated Pine Paling 1800mm,ratified,PL100x16x1800,CCA Treated Pine Paling 100 x 16 x 1800mm,1800,,1800,1.78,1.96,330
timber,Treated Pine,Paling,Paling,100x16 Treated Pine Paling 2100mm,ratified,PL100x16x2100,CCA Treated Pine Paling 100 x 16 x 2100mm,2100,,2100,2.15,2.37,330
timber,Treated Pine,Paling,Paling,100x16 Treated Pine Paling 2400mm,ratified,PL100x16x2400,CCA Treated Pine Paling 100 x 16 x 2400mm,2400,,2400,2.5,2.75,330
timber,Hardwood,Post,Post,100x75 Hardwood Post 1800mm,ratified,hw100x75x1800,H4 Treated Hardwood Post 100 x 75 x 1800mm,1800,,1800,16.81,18.49,56
timber,Hardwood,Post,Post,100x75 Hardwood Post 2400mm,ratified,hw100x75x2400,H4 Treated Hardwood Post 100 x 75 x 2400mm,2400,,2400,22.43,24.67,28
timber,Hardwood,Post,Post,100x75 Hardwood Post 2700mm,ratified,hw100x75x2700,H4 Treated Hardwood Post 100 x 75 x 2700mm,2700,,2700,25.43,27.97,56
timber,Hardwood,Post,Post,100x75 Hardwood Post 2100mm,ratified,Futhw100x75x2100,H4 Treated Hardwood Post 100 x 75 x 2100mm,2100,,2100,20.79,22.87,55
timber,Hardwood,Post,Post,100x75 Hardwood Post 3000mm,ratified,hw100x75x3000,H4 Treated Hardwood Post 100 x 75 x 3000mm,3000,,3000,28.41,31.25,56
timber,Hardwood,Post,Post,100x100 Hardwood Post 1800mm,ratified,HP100x100,H4 Treated Hardwood Post 100 x 100 x 1800mm,1800,,1800,22.13,24.34,42
timber,Hardwood,Post,Post,100x100 Hardwood Post 2100mm,ratified,HP100x100,H4 Treated Hardwood Post 100 x 100 x 2100mm,2100,,2100,27.98,30.78,42
timber,Hardwood,Post,Post,100x100 Hardwood Post 2400mm,ratified,HP100x100,H4 Treated Hardwood Post 100 x 100 x 2400mm,2400,,2400,30.33,33.36,42
timber,Hardwood,Post,Post,100x100 Hardwood Post 2700mm,ratified,HP100x100,H4 Treated Hardwood Post 100 x 100 x 2700mm,2700,,2700,35.97,39.57,42
timber,Treated Pine,Rail,Rail,75x38 Treated Pine Rail 4800mm,ratified,pr75x38x4800,CCA 75x38 x 4800mm Treated Pine Rail,75 x 38 x 4800,,4800,8.64,9.5,90
timber,Treated Pine,Rail,Rail,100x38 Treated Pine Rail 4800mm,ratified,pr100x38x4800,CCA Treated Pine Rail 100 x 38 x 4800mm,100 x 38 x 4800,,4800,11.52,12.67,70
timber,Hardwood,Rail,Rail,75x38 Hardwood Rail 4800mm,ratified,hw75x38x4800,H4 Treated Hardwood Rail 75 x 38 x 4800mm,75 x 38 x 4800,,4800,19.8,21.78,80
timber,Hardwood,Rail,Rail,100x38 Hardwood Rail 4800mm,ratified,hw100x38x4800,H4 Treated Hardwood Rail 100 x 38 x 4800mm,100 x 38 x 4800,,4800,26.76,29.44,56
timber,Treated Pine,Sleeper,Sleeper,200x50 Treated Pine Sleeper 2400mm,ratified,ps200x50x2400,CCA Treated Pine Sleeper 200 x 50 x 2400mm,2400,,2400,16.32,17.95,55
timber,Treated Pine,Sleeper,Sleeper,200x50 Treated Pine Sleeper 3000mm,ratified,ps200x50x3000,CCA Treated Pine Sleeper 200 x 50 x 3000mm,3000,,3000,21.45,23.6,55
timber,Treated Pine,Sleeper,Sleeper,200x75 Treated Pine Sleeper 2400mm,ratified,ps200x75x2400,CCA Treated Pine Sleeper 200 x 75 x 2400mm,2400,,2400,23.65,26.02,36
timber,Treated Pine,Sleeper,Sleeper,200x75 Treated Pine Sleeper 3000mm,ratified,ps200x75x300,CCA Treated Pine Sleeper 200 x 75 x 3000mm,3000,,3000,29.55,32.51,36
timber,Treated Pine,Picket,Picket,75x16 Treated Pine Colonial Picket 2100mm,ratified,CP75x16x1200,CCA Treated Pine Colonial Picket 75 x 16 x 1200mm,1200,,2100,1.39,1.53,429
timber,Treated Pine,Picket,Picket,75x16 Treated Pine Colonial Picket 1500mm,ratified,CP75x16x1500,CCA Treated Pine Colonial Picket 75 x 16 x 1500mm,1500,,1500,1.73,1.9,429
timber,Treated Pine,Picket,Picket,75x16 Treated Pine Colonial Picket 1800mm,ratified,CP75x16x1800,CCA Treated Pine Colonial Picket 75 x 16 x 1800mm,1800,,1800,2.0,2.2,429
timber,Treated Pine,Post,Post,100x75 Treated Pine Post 1800mm,ratified,PP100x75x1800,CCA Treated Pine Post 100 x 75 x 1800mm,1800,,1800,10.71,11.78,55
timber,Treated Pine,Post,Post,100x75 Treated Pine Post 2400mm,ratified,PP100x75x2400,CCA Treated Pine Post 100 x 75 x 2400mm,2400,,2400,14.27,15.7,55
timber,Treated Pine,Post,Post,100x75 Treated Pine Post 3000mm,ratified,PP100x75x3000,CCA Treated Pine Post 100 x 75 x 3000mm,3000,,3000,17.85,19.64,55
timber,Treated Pine,Nails,Nails,2.5x45mm Ring Shank Gal Coil Nail,ratified,CN2545RMG,Coil Nails 15Deg - 2.5 x 45mm Ring M Gal (9000),45,,,58.0,63.8,9000
timber,Treated Pine,Nails,Nails,2.5x57mm Ring Shank Gal Coil Nail,ratified,CN2557RMG,Coil Nails 15Deg - 2.5 x 57mm Ring M Gal (9000),57,,,89.0,97.9,9000
timber,Treated Pine,Screw,Screw,14g x 75mm Galvanised Batten Screw,ratified,BBEG14755,Batten Screws 14g x 75mm Galvanised(500),,,,36.37,40.01,500
timber,Treated Pine,Screw,Screw,14g x 125mm Galvanised Batten Screw,ratified,BBEG141255,Batten Screws 14g x 125mm Galvanised(500),125,,,9.94,10.93,
timber,Treated Pine,Bagged Concrete,Bagged Concrete,Rapid Set Concrete 30kg,ratified,DMR3056LD,Rapid Set 30KG,30 KG,,,11.04,12.14,56
timber,Treated Pine,Bagged Concrete,Bagged Concrete,Post Mix Concrete 30kg,ratified,DMPM3056LD,Post Mix 30KG,30 KG,,,9.8,10.78,56
timber,Treated Pine,Bagged Concrete,Bagged Concrete,General Purpose Cement 20kg,ratified,CG2CD,General Purpose Cement 20kg,20 KG,,,6.68,7.35,
timber,Hardwood,Sleeper,Sleeper,200x50 Hardwood Sleeper 2400mm,ratified,HS200x50x2400,H4 Treated Hardwood Sleeper 200 x 50 x 2400mm,2400,,2400,24.98,27.48,48
timber,Treated Pine,Nails,Nails,2.5x32mm Hardened Gal Coil Nail,ratified,CNHD32,Hardened Coil Nail 15 Deg - 2.5 x 32mm (6000),2.5 x 32,,,50.0,55.0,
timber,Treated Pine,Screw,Screw,14g x 100mm Galvanised Batten Screw,ratified,BBEG141005,Batten Screws 14g x 100mm Galvanised(500),100,,,12.13,13.34,500
timber,Hardwood,Sleeper,Sleeper,200x50 Hardwood Sleeper 3000mm,ratified,HS200x50x3000,H4 Treated Hardwood Sleeper 200 x 50 x 3000mm,3000,,3000,31.4,34.54,48
timber,Hardwood,Sleeper,Sleeper,200x75 Hardwood Sleeper 2400mm,ratified,HS200x75x2400,H4 Treated Hardwood Sleeper 200 x 75 x 2400mm,2400,,2400,37.49,41.24,32
timber,Hardwood,Sleeper,Sleeper,200x75 Hardwood Sleeper 3000mm,ratified,HS200x75x3000,H4 Treated Hardwood Sleeper 200 x 75 x 3000mm,3000,,3000,48.61,53.47,32
timber,Treated Pine,Nails,Nails,2.5x45mm Ring Shank Gal Coil Nail,ratified,CN2545RMGSINCOIL,Coil Nails 15Deg - 2.5 x 45mm Ring M Gal (250) - Single Coil,45,,,2.47,2.72,250
timber,Treated Pine,Nails,Nails,2.5x32mm Hardened Gal Coil Nail,ratified,CNHD32Single,Hardened Coil Nail 15 Deg - 2.5 x 32mm (200) - Single Coil,2.5 x 32,,,1.66,1.83,
timber,Treated Pine,Paling,Paling,100x16 Treated Pine Paddle Pop Paling 1200mm,ratified,100x1200x16Paddle,CCA Treated Pine *Paddle Pop* Paling 100 x 16 x 1200mm,1200,,1200,1.7,1.87,
timber,Treated Pine,Post,Post,100x100 Treated Pine Post 2400mm,ratified,PP100x100x2400,CCA Treated Pine Post 100 x 100 x 2400mm,2400,,2400,20.3,22.33,55
timber,Treated Pine,Paling,Paling,100x16 Treated Pine Paling 3000mm,ratified,PL100x16x3000,CCA Treated Pine Paling 100 x 16 x 3000mm - Custom Order - Pack of 330 ONLY,3000,,3000,3.15,3.47,330
timber,Treated Pine,Rail,Rail,100x38 Treated Pine Arrissed Rail 4800mm,ratified,F100038H3AR4800,CCA Treated Pine Rail Arrissed 100 x 38 x 4800mm,4800,,4800,12.38,13.62,60
timber,Hardwood,Sleeper,Sleeper,200x75 Hardwood Sleeper 1800mm,ratified,HS200x75x1800,H4 Treated Hardwood Sleeper 200 x 75 x 1800mm,1800,,1800,30.0,33.0,
timber,Treated Pine,Nails,Nails,2.5x57mm Ring Shank Gal Coil Nail,ratified,CN2557RMGSINCOIL,Coil Nails 15Deg - 2.5 x 57mm Ring M Gal (250) - Single Coil,57,,,3.8,4.18,
timber,Treated Pine,Paling,Paling,100x16 Treated Pine Paddle Pop Paling 1500mm,ratified,100x1500x16Paddle,CCA Treated Pine *Paddle Pop* Paling 100 x 16 x 1500mm,1500,,,1.7,1.87,
timber,Treated Pine,Post,Post,100x100 Treated Pine Post 3000mm,ratified,,CCA Treated Pine Post 100 x 100 x 3000mm,,,,32.1,35.31,
timber,Treated Pine,Nails,Nails,Stainless Steel Coil Nail,ratified,YF452563F,Coil Nails 45mm Stainless Steel (Box 1800),,,45,148.0,162.8,1800
colorbond,Metroll,Double gate,Gate Style,Colorbond Double Gate Monument,ratified,,CB D/Gate Kit 1800h x 3325w MONUMENT,,Monument,,269.48,296.43,
colorbond,Metroll,Single gate,Gate Style,Colorbond Single Gate Monument,ratified,,CB S/Gate Kit 1800h x 1670w MONUMENT,,Monument,1800,167.1,183.81,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Monument,ratified,,CB S/Gate Kit 1800h x 910w MONUMENT,,Monument,1800,142.35,156.59,
colorbond,Metroll,Single gate,Gate Style,Colorbond Single Gate Monument,ratified,,CB S/Gate Kit 1500h x 1670w MONUMENT,,Monument,1800,157.56,173.32,
colorbond,Metroll,Double gate,Gate Style,Colorbond Double Gate Riversand,ratified,,CB D/Gate Kit 1800h x 3325w RIVERSAND,,Riversand,1800,289.11,318.02,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Basalt,ratified,,CB S/Gate Kit 1800h x 910w BASALT,,Basalt,1800,140.73,154.8,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Basalt,ratified,,CB S/Gate Kit 1500h x 910w BASALT,,Basalt,1500,132.52,145.77,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Basalt,ratified,,CB S/Gate Kit 1200h x 910w BASALT,,Basalt,1200,136.44,150.08,
