category,supplier_sku,description,size,colour,length_mm,tier2_price_ex_gst,rrp,carton_qty
C POST,FNPBA18,Colorbond® CPost 1800 BASALT,1800,BASALT,1800,7.06,,
C POST,FNPBA21,Colorbond® CPost 2100 BASALT,2100,BASALT,2100,8.27,,
C POST,FNPBA24,Colorbond® CPost 2400 BASALT,2400,BASALT,2400,8.56,,144
C POST,FNPBA27,Colorbond® CPost 2700 BASALT,2700,BASALT,2700,9.63,,144
C POST,FNPBA30,Colorbond® CPost 3000 BASALT,3000,BASALT,3000,11.77,,
C POST,FNPCG18,Colorbond® CPost 1800 COTTAGE GREEN,1800,COTTAGE GREEN,1800,7.09,,
C POST,FNPCG21,Colorbond® CPost 2100 COTTAGE GREEN,2100,COTTAGE GREEN,2100,8.26,,
C POST,FNPCG24,Colorbond® CPost 2400 COTTAGE GREEN,2400,COTTAGE GREEN,2400,8.56,,48
C POST,FNPCG27,Colorbond® CPost 2700 COTTAGE GREEN,2700,COTTAGE GREEN,2700,9.63,,48
C POST,FNPCG30,Colorbond® CPost 3000 COTTAGE GREEN,3000,COTTAGE GREEN,3000,11.77,,
C POST,FNPDO18,Colorbond® CPost 1800 DEEP OCEAN,1800,DEEP OCEAN,1800,7.06,,
C POST,FNPDO21,Colorbond® CPost 2100 DEEP OCEAN,2100,DEEP OCEAN,2100,8.27,,
C POST,FNPDO24,Colorbond® CPost 2400 DEEP OCEAN,2400,DEEP OCEAN,2400,8.56,,0
C POST,FNPDO27,Colorbond® CPost 2700 DEEP OCEAN,2700,DEEP OCEAN,2700,9.63,,48
C POST,FNPDO30,Colorbond® CPost 3000 DEEP OCEAN,3000,DEEP OCEAN,3000,11.8,,48
C POST,FNPDM18,Colorbond® CPost 1800 DOMAIN,1800,DOMAIN,1800,7.06,,
C POST,FNPDM21,Colorbond® CPost 2100 DOMAIN,2100,DOMAIN,2100,8.27,,
C POST,FNPDM24,Colorbond® CPost 2400 DOMAIN,2400,DOMAIN,2400,8.56,,144
C POST,FNPDM27,Colorbond® CPost 2700 DOMAIN,2700,DOMAIN,2700,9.63,,144
C POST,FNPDM30,Colorbond® CPost 3000 DOMAIN,3000,DOMAIN,3000,11.77,,
C POST,FNPDU18,Colorbond® CPost 1800 DUNE,1800,DUNE,1800,7.06,,
C POST,FNPDU21,Colorbond® CPost 2100 DUNE,2100,DUNE,2100,8.27,,
C POST,FNPDU24,Colorbond® CPost 2400 DUNE,2400,DUNE,2400,8.56,,144
C POST,FNPDU27,Colorbond® CPost 2700 DUNE,2700,DUNE,2700,9.63,,144
C POST,FNPDU30,Colorbond® CPost 3000 DUNE,3000,DUNE,3000,11.77,,
C POST,FNPEH18,Colorbond® CPost 1800 EVENING HAZE,1800,EVENING HAZE,1800,7.06,,
C POST,FNPEH21,Colorbond® CPost 2100 EVENING HAZE,2100,EVENING HAZE,2100,8.27,,
