system,brand,style,category,canonical_name,canonical_status,supplier_sku,description,size,colour,length_mm,tier2_ex_gst,tier2_inc_gst,carton_qty
composite,TUFFPOLY,Delivery,Delivery Service,TUFFPOLY Delivery,proposed,,TUFFPOLY Delivery to Yatala Yard Charge - Pick Up is available from Geebung to avoid this charge,,,,136.36,150.0,
composite,SuperPost,C-Post,C POST,SuperPost C-Post 2400 Composite Grey,proposed,21T,SuperPost CPost Composite Grey 2400,2400,Composite Grey,2400,41.1,45.21,
composite,SuperPost,H-Post,Post,SuperPost H-Post 2400 Composite Grey,proposed,21T001,SuperPost HPost Composite Grey 2400,2400,Composite Grey,2400,56.66,62.33,54
composite,SuperPost,Bracket,Bracket,SuperPost Bracket  Composite Grey,proposed,21T002,SuperBracket 90 x 6 x 610mm Composite Grey,,Composite Grey,610,13.52,14.87,
composite,SuperPost,Wedge,Bracket,SuperPost Wedge  Black,proposed,21T,SuperWedge Black,,Black,,0.22,0.24,
composite,SuperPost,Plinth,Sleeper,SuperPost Plinth  Composite Grey,proposed,21T,SuperPLINTH 185 x 40 x 2380 Composite Grey,,Composite Grey,2380,28.1,30.91,150
composite,SuperPost,Plinth,Sleeper,SuperPost Plinth 185 x 40 x 3160 Composite Grey,proposed,21T006,SuperPLINTH 185 x 40 x 3160 Composite Grey,185 x 40 x 3160,Composite Grey,3160,40.9,44.99,
composite,SuperPost,Sleeper,Sleeper,SuperPost Sleeper 200 x 60 x 1950 Composite Grey,proposed,21T007,SuperSleeper Composite Grey 200 x 60 x 1950,200 x 60 x 1950,Composite Grey,1950,30.56,33.62,144
composite,SuperPost,Sleeper,Sleeper,SuperPost Sleeper 200 x 60 x 2350 Composite Grey,proposed,21T008,SuperSleeper Composite Grey 200 x 60 x 2350,200 x 60 x 2350,Composite Grey,2350,36.01,39.61,144
composite,SuperPost,Cap,Components,SuperPost Cap 2040 Composite Grey,proposed,21T009,SuperCap Composite Grey 2040,2040,Composite Grey,2040,17.88,19.67,25
composite,SuperPost,Cap,Components,SuperPost Cap 2425 Composite Grey,proposed,21T010,SuperCap Composite Grey 2425,2425,Composite Grey,2425,22.19,24.41,25
